,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee,Position_general
0,Luís Figo,Right Winger,27,FC Barcelona,LaLiga,Real Madrid,LaLiga,1,30.0,60.0,1
1,Hernán Crespo,Centre-Forward,25,Parma,Italy Serie A,Lazio,Italy Serie A,1,28.405,56.81,1
2,Marc Overmars,Left Winger,27,Arsenal,Premier League,FC Barcelona,LaLiga,1,20.0,40.0,1
3,Gabriel Batistuta,Centre-Forward,31,Fiorentina,Italy Serie A,AS Roma,Italy Serie A,1,18.075,36.15,1
4,Nicolas Anelka,Centre-Forward,21,Real Madrid,LaLiga,Paris SG,French Ligue 1,1,17.25,34.5,1
5,Rio Ferdinand,Centre-Back,22,West Ham,Premier League,Leeds,Premier League,1,13.0,26.0,3
6,Flávio Conceicao,Central Midfield,26,Dep. La Coruña,LaLiga,Real Madrid,LaLiga,1,12.5,25.0,2
7,Savo Milosevic,Centre-Forward,26,Real Zaragoza,LaLiga,Parma,Italy Serie A,1,12.5,25.0,1
8,David Trézéguet,Centre-Forward,22,Monaco,French Ligue 1,Juventus,Italy Serie A,1,11.62,23.24,1
9,Claudio López,Centre-Forward,25,Valencia CF,LaLiga,Lazio,Italy Serie A,1,11.5,23.0,1
10,Jimmy Floyd Hasselbaink,Centre-Forward,28,Atlético Madrid,LaLiga2,Chelsea,Premier League,1,11.25,22.5,1
11,Gerard López,Central Midfield,21,Valencia CF,LaLiga,FC Barcelona,LaLiga,1,10.8,21.6,2
12,Lucas,Centre-Forward,21,Atlético-PR,Brazil,Stade Rennais,French Ligue 1,1,10.65,21.3,1
13,Pablo Aimar,Attacking Midfield,21,River Plate,Argentina,Valencia CF,LaLiga,1,10.625,21.25,2
14,Wálter Samuel,Centre-Back,22,Boca Juniors,Argentina,AS Roma,Italy Serie A,1,10.4,20.8,3
15,Shabani Nonda,Centre-Forward,23,Stade Rennais,French Ligue 1,Monaco,French Ligue 1,1,10.0,20.0,1
16,Robbie Keane,Centre-Forward,19,Coventry City,Premier League,Inter,Italy Serie A,1,9.75,19.5,1
17,José Mari,Centre-Forward,21,Atlético Madrid,LaLiga2,AC Milan,Italy Serie A,1,9.5,19.0,1
18,Jonathan Zebina,Centre-Back,21,Cagliari Calcio,Italy Serie B,AS Roma,Italy Serie A,1,9.2,18.4,3
19,Émerson,Defensive Midfield,24,Bay. Leverkusen,German Bundesliga,AS Roma,Italy Serie A,1,9.0,18.0,2
20,Tore André Flo,Centre-Forward,27,Chelsea,Premier League,Rangers,Scottish Premiership,1,9.0,18.0,1
21,Sergiy Rebrov,Second Striker,26,Dynamo Kyiv,Premier League,Spurs,Premier League,1,9.0,18.0,1
22,Angelo Peruzzi,Goalkeeper,30,Inter,Italy Serie A,Lazio,Italy Serie A,1,8.95,17.9,4
23,Diego Tristán,Centre-Forward,24,RCD Mallorca,LaLiga,Dep. La Coruña,LaLiga,1,8.875,17.75,1
24,Sylvain Wiltord,Second Striker,26,G. Bordeaux,French Ligue 1,Arsenal,Premier League,1,8.75,17.5,1
25,Fernando Redondo,Defensive Midfield,31,Real Madrid,LaLiga,AC Milan,Italy Serie A,1,8.75,17.5,2
26,Jardel,Centre-Forward,26,FC Porto,LaLiga,Galatasaray,Turkish Super Lig,1,8.525,17.05,1
27,Nuno Gomes,Centre-Forward,24,Benfica,LaLiga,Fiorentina,Italy Serie A,1,8.5,17.0,1
28,Sérgio Conceição,Right Winger,25,Lazio,Italy Serie A,Parma,Italy Serie A,1,8.5,17.0,1
29,Alfonso,Centre-Forward,27,Real Betis,LaLiga2,FC Barcelona,LaLiga,1,8.25,16.5,1
30,Francisco Farinós,Defensive Midfield,22,Valencia CF,LaLiga,Inter,Italy Serie A,1,8.125,16.25,2
31,Kakhaber Kaladze,Centre-Back,22,Dynamo Kyiv,Premier League,AC Milan,Italy Serie A,1,8.0,16.0,3
32,Francis Jeffers,Centre-Forward,20,Everton,Premier League,Arsenal,Premier League,1,7.65,15.3,1
33,Emmanuel Petit,Defensive Midfield,29,Arsenal,Premier League,FC Barcelona,LaLiga,1,7.5,15.0,2
34,Tomás Rosicky,Attacking Midfield,20,Sparta Praha,Czech First League,Bor. Dortmund,German Bundesliga,1,7.25,14.5,2
35,Catanha,Centre-Forward,28,Málaga CF,LaLiga,Celta de Vigo,LaLiga,1,7.21,14.42,1
36,Juan Pablo Ángel,Centre-Forward,25,River Plate,Argentina,Aston Villa,Premier League,1,7.2,14.4,1
37,Mateja Kezman,Centre-Forward,21,Partizan,Serbian SuperLiga,PSV Eindhoven,Eredivisie League(Nederland),1,7.0,14.0,1
38,Claude Makélélé,Defensive Midfield,27,Celta de Vigo,LaLiga,Real Madrid,LaLiga,1,7.0,14.0,2
39,Aldo Duscher,Defensive Midfield,21,Sporting CP,LaLiga,Dep. La Coruña,LaLiga,1,6.5,13.0,2
40,Ugo Ehiogu,Centre-Back,27,Aston Villa,Premier League,Middlesbrough,Premier League,1,6.1,12.2,3
41,Jesper Grönkjaer,Left Winger,23,AFC Ajax,Eredivisie League(Nederland),Chelsea,Premier League,1,5.925,11.85,1
42,Fabien Barthez,Goalkeeper,29,Monaco,French Ligue 1,Man Utd,Premier League,1,5.85,11.7,4
43,Edmílson,Centre-Back,23,São Paulo,Brazil,Olympique Lyon,French Ligue 1,1,5.5,11.0,3
44,Stéphane Dalmat,Central Midfield,21,Marseille,French Ligue 1,Paris SG,French Ligue 1,1,5.375,10.75,2
45,Laurén,Right-Back,23,RCD Mallorca,LaLiga,Arsenal,Premier League,1,5.35,10.7,3
46,Pedro Munitis,Second Striker,25,Racing,LaLiga,Real Madrid,LaLiga,1,5.25,10.5,1
47,Olivier Dacourt,Defensive Midfield,25,Lens,French Ligue 1,Leeds,Premier League,1,5.25,10.5,2
48,Carl Cort,Centre-Forward,22,MK Dons,Premier League,Newcastle,Premier League,1,5.25,10.5,1
49,Stéphane Porato,Goalkeeper,26,Marseille,French Ligue 1,Monaco,French Ligue 1,1,5.25,10.5,4
50,Robert Pirès,Left Midfield,26,Marseille,French Ligue 1,Arsenal,Premier League,1,4.9,9.8,2
51,Émerson,Defensive Midfield,28,CD Tenerife,LaLiga2,Dep. La Coruña,LaLiga,1,4.8,9.6,2
52,Chris Sutton,Centre-Forward,27,Chelsea,Premier League,Celtic,Scottish Premiership,1,4.75,9.5,1
53,Claudio Husaín,Defensive Midfield,25,River Plate,Argentina,SSC Napoli,Italy Serie A,1,4.65,9.3,2
54,Craig Bellamy,Left Winger,21,Norwich,Premier League,Coventry City,Premier League,1,4.625,9.25,1
55,Mark Viduka,Centre-Forward,24,Celtic,Scottish Premiership,Leeds,Premier League,1,4.575,9.15,1
56,Pauleta,Centre-Forward,27,Dep. La Coruña,LaLiga,G. Bordeaux,French Ligue 1,1,4.55,9.1,1
57,Alpay Özalan,Centre-Back,27,Fenerbahce,Turkish Super Lig,Aston Villa,Premier League,1,4.5,9.0,3
58,Christian Ziege,Left Midfield,28,Middlesbrough,Premier League,Liverpool,Premier League,1,4.5,9.0,2
59,Nick Barmby,Left Midfield,26,Everton,Premier League,Liverpool,Premier League,1,4.5,9.0,2
60,Marc-Vivien Foé,Central Midfield,25,West Ham,Premier League,Olympique Lyon,French Ligue 1,1,4.5,9.0,2
61,Lúcio,Centre-Back,22,Internacional,Brazil,Bay. Leverkusen,German Bundesliga,1,4.375,8.75,3
62,Christian Karembeu,Defensive Midfield,29,Real Madrid,LaLiga,Middlesbrough,Premier League,1,4.375,8.75,2
63,Neil Lennon,Central Midfield,29,Leicester,Premier League,Celtic,Scottish Premiership,1,4.315,8.63,2
64,John Carew,Centre-Forward,20,Rosenborg BK,Eliteserien(Norway),Valencia CF,LaLiga,1,4.25,8.5,1
65,Mario Stanic,Right Winger,28,Parma,Italy Serie A,Chelsea,Premier League,1,4.2,8.4,1
66,Igor Biscan,Centre-Back,22,Dinamo Zagreb,Croatian First Football League,Liverpool,Premier League,1,4.125,8.25,3
67,Julio Cruz,Centre-Forward,25,Feyenoord,Eredivisie League(Nederland),Bologna,Italy Serie A,1,4.1,8.2,1
68,Patrick Müller,Centre-Back,23,Grasshoppers,Super League Greece,Olympique Lyon,French Ligue 1,1,4.0,8.0,3
69,Zlatko Zahovic,Attacking Midfield,29,Olympiacos,Super League Greece,Valencia CF,LaLiga,1,4.0,8.0,2
70,Sabri Lamouchi,Central Midfield,28,Monaco,French Ligue 1,Parma,Italy Serie A,1,3.925,7.85,2
71,Willy Sagnol,Right-Back,23,Monaco,French Ligue 1,Bayern Munich ,German Bundesliga,1,3.85,7.7,3
72,Johan Micoud,Attacking Midfield,26,G. Bordeaux,French Ligue 1,Parma,Italy Serie A,1,3.8,7.6,2
73,Martín Palermo,Centre-Forward,27,Boca Juniors,Argentina,Villarreal CF,LaLiga,1,3.8,7.6,1
74,Ben Thatcher,Left-Back,24,MK Dons,Premier League,Spurs,Premier League,1,3.77,7.54,3
75,Eidur Gudjohnsen,Centre-Forward,21,Bolton,Premier League,Chelsea,Premier League,1,3.75,7.5,1
76,Bruno Cirillo,Centre-Back,23,Reggina,Italy Serie A,Inter,Italy Serie A,1,3.75,7.5,3
77,Sunday Oliseh,Defensive Midfield,25,Juventus,Italy Serie A,Bor. Dortmund,German Bundesliga,1,3.75,7.5,2
78,Roger,Attacking Midfield,21,Fluminense,Brazil,Benfica,LaLiga,1,3.75,7.5,2
79,Dino Baggio,Defensive Midfield,29,Parma,Italy Serie A,Lazio,Italy Serie A,1,3.75,7.5,2
80,Diego Placente,Left-Back,23,River Plate,Argentina,Bay. Leverkusen,German Bundesliga,1,3.65,7.3,3
81,David Sesa,Second Striker,26,Lecce,Italy Serie A,SSC Napoli,Italy Serie A,1,3.625,7.25,1
82,Bert Konterman,Centre-Back,29,Feyenoord,Eredivisie League(Nederland),Rangers,Scottish Premiership,1,3.625,7.25,3
83,Dominic Matteo,Left-Back,26,Liverpool,Premier League,Leeds,Premier League,1,3.565,7.13,3
84,Mauro Germán Camoranesi,Right Midfield,24,CD Cruz Azul,Mexican League,Hellas Verona,Italy Serie A,1,3.5,7.0,2
85,Rodrigo Tello,Left Midfield,21,U. de Chile,Chile League,Sporting CP,LaLiga,1,3.5,7.0,2
86,Luís Fabiano,Centre-Forward,19,Ponte Preta,Brazil,Stade Rennais,French Ligue 1,1,3.5,7.0,1
87,Pierre van Hooijdonk,Centre-Forward,30,Vitesse,Eredivisie League(Nederland),Benfica,LaLiga,1,3.4,6.8,1
88,Hermann Hreidarsson,Centre-Back,25,MK Dons,Premier League,Ipswich,Premier League,1,3.375,6.75,3
89,Émerson Thome,Centre-Back,28,Chelsea,Premier League,Sunderland,Premier League,1,3.35,6.7,3
90,Hakan Sükür,Centre-Forward,28,Galatasaray,Turkish Super Lig,Inter,Italy Serie A,1,3.25,6.5,1
91,Philippe Delaye,Central Midfield,25,Montpellier,Ligue 2,Stade Rennais,French Ligue 1,1,3.25,6.5,2
92,Alex Nyarko,Centre-Back,26,Lens,French Ligue 1,Everton,Premier League,1,3.15,6.3,3
93,Bob Peeters,Centre-Forward,26,Roda JC,Eredivisie League(Nederland),Vitesse,Eredivisie League(Nederland),1,3.15,6.3,1
94,César Sánchez,Goalkeeper,28,Real Valladolid,LaLiga,Real Madrid,LaLiga,1,3.125,6.25,4
95,Carlos Gamarra,Centre-Back,29,Atlético Madrid,LaLiga2,Flamengo,Brazil,1,3.125,6.25,3
96,Patrick M'Boma,Centre-Forward,29,Cagliari Calcio,Italy Serie B,Parma,Italy Serie A,1,3.05,6.1,1
97,Claus Jensen,Attacking Midfield,23,Bolton,Premier League,Charlton,Premier League,1,3.0,6.0,2
98,Lucas Bernardi,Central Midfield,22,Newell's,Argentina,Marseille,French Ligue 1,1,3.0,6.0,2
99,Alain Goma,Centre-Back,28,Newcastle,Premier League,Fulham,Premier League,1,3.0,6.0,3
100,Frédéric Déhu,Centre-Back,27,FC Barcelona,LaLiga,Paris SG,French Ligue 1,1,3.0,6.0,3
101,Esteban Fuertes,Centre-Forward,27,Derby,Premier League,Lens,French Ligue 1,1,3.0,6.0,1
102,Milan Rapaic,Left Midfield,26,Perugia,Italy Serie A,Fenerbahce,Turkish Super Lig,1,3.0,6.0,2
103,Sebastián Cejas,Goalkeeper,26,Newell's,Argentina,AS Roma,Italy Serie A,1,3.0,6.0,4
104,Zé Elias,Central Midfield,23,Bologna,Italy Serie A,Olympiacos,Super League Greece,1,2.9,5.8,2
105,Joos Valgaeren,Centre-Back,24,Roda JC,Eredivisie League(Nederland),Celtic,Scottish Premiership,1,2.85,5.7,3
106,Bülent Akin,Defensive Midfield,21,Denizlispor,Turkish Super Lig,Galatasaray,Turkish Super Lig,1,2.75,5.5,2
107,Ronald de Boer,Right Winger,30,FC Barcelona,LaLiga,Rangers,Scottish Premiership,1,2.75,5.5,1
108,Fernando Ricksen,Right-Back,23,AZ Alkmaar,Eredivisie League(Nederland),Rangers,Scottish Premiership,1,2.7,5.4,3
109,Duncan Ferguson,Centre-Forward,28,Newcastle,Premier League,Everton,Premier League,1,2.7,5.4,1
110,Giorgi Demetradze,Centre-Forward,24,Dynamo Kyiv,Premier League,Real Sociedad,LaLiga,1,2.7,5.4,1
111,Christian Bassedas,Attacking Midfield,27,Vélez Sarsfield,Argentina,Newcastle,Premier League,1,2.65,5.3,2
112,José Luis Chilavert,Goalkeeper,35,Vélez Sarsfield,Argentina,R. Strasbourg,French Ligue 1,1,2.65,5.3,4
113,Roberto Ayala,Centre-Back,27,AC Milan,Italy Serie A,Valencia CF,LaLiga,1,2.5,5.0,3
114,Viorel Moldovan,Centre-Forward,28,Fenerbahce,Turkish Super Lig,FC Nantes,French Ligue 1,1,2.5,5.0,1
115,Vratislav Gresko,Left-Back,23,Bay. Leverkusen,German Bundesliga,Inter,Italy Serie A,1,2.5,5.0,3
116,Giorgi Kinkladze,Attacking Midfield,27,AFC Ajax,Eredivisie League(Nederland),Derby,Premier League,1,2.5,5.0,2
117,Serkan Aykut,Centre-Forward,25,Samsunspor,Turkish Super Lig,Galatasaray,Turkish Super Lig,1,2.5,5.0,1
118,Fernandão,Centre-Forward,22,Goiás EC,Brazil,Marseille,French Ligue 1,1,2.5,5.0,1
119,Haim Revivo,Attacking Midfield,28,Celta de Vigo,LaLiga,Fenerbahce,Turkish Super Lig,1,2.5,5.0,2
120,Vicente,Left Winger,18,Levante UD,LaLiga2,Valencia CF,LaLiga,1,2.4,4.8,1
121,Julio Arca,Central Midfield,19,Argentinos,Argentina,Sunderland,Premier League,1,2.35,4.7,2
122,Richard Dunne,Centre-Back,21,Everton,Premier League,Man City,Premier League,1,2.25,4.5,3
123,Gary Rowett,Right-Back,26,Birmingham,Premier League,Leicester,Premier League,1,2.25,4.5,3
124,Richard Núñez,Attacking Midfield,25,Danubio FC,Uruguayan Primera Division,Grasshoppers,Super League Greece,1,2.25,4.5,2
125,David Thompson,Right Midfield,22,Liverpool,Premier League,Coventry City,Premier League,1,2.25,4.5,2
126,Alessandro Pistone,Left-Back,24,Newcastle,Premier League,Everton,Premier League,1,2.25,4.5,3
127,Joseph-Désiré Job,Centre-Forward,22,Lens,French Ligue 1,Middlesbrough,Premier League,1,2.25,4.5,1
128,Radostin Kishishev,Defensive Midfield,25,Litex Lovetch,Bulgaria League,Charlton,Premier League,1,2.25,4.5,2
129,Bernard Diomède,Left Winger,26,AJ Auxerre,French Ligue 1,Liverpool,Premier League,1,2.25,4.5,1
130,Sixto Peralta,Central Midfield,21,Racing Club,Argentina,Inter,Italy Serie A,1,2.25,4.5,2
131,David Johnson,Left Winger,24,Ipswich,Premier League,Nottm Forest,Premier League,1,2.25,4.5,1
132,Kennet Andersson,Centre-Forward,32,Bologna,Italy Serie A,Fenerbahce,Turkish Super Lig,1,2.25,4.5,1
133,Marquinhos,Attacking Midfield,18,Avaí FC,Brazil,Bay. Leverkusen,German Bundesliga,1,2.25,4.5,2
134,Alan Thompson,Left Midfield,26,Aston Villa,Premier League,Celtic,Scottish Premiership,1,2.2,4.4,2
135,Jonatan Johansson,Centre-Forward,24,Rangers,Scottish Premiership,Charlton,Premier League,1,2.15,4.3,1
136,Rodolfo Arruabarrena,Left-Back,24,Boca Juniors,Argentina,Villarreal CF,LaLiga,1,2.1,4.2,3
137,Rigobert Song,Centre-Back,24,Liverpool,Premier League,West Ham,Premier League,1,2.05,4.1,3
138,José Francisco Molina,Goalkeeper,29,Atlético Madrid,LaLiga2,Dep. La Coruña,LaLiga,1,2.05,4.1,4
139,Jörg Heinrich,Left Midfield,30,Fiorentina,Italy Serie A,Bor. Dortmund,German Bundesliga,1,2.05,4.1,2
140,Adrian Mutu,Centre-Forward,21,Inter,Italy Serie A,Hellas Verona,Italy Serie A,1,2.0,4.0,1
141,Fernando Meira,Centre-Back,22,Vit. Guimarães,LaLiga,Benfica,LaLiga,1,2.0,4.0,3
142,Gianni Guigou,Defensive Midfield,25,Nacional,Uruguayan Primera Division,AS Roma,Italy Serie A,1,2.0,4.0,2
143,Richard Dutruel,Goalkeeper,27,Celta de Vigo,LaLiga,FC Barcelona,LaLiga,1,2.0,4.0,4
144,Pascal Nouma,Centre-Forward,28,Lens,French Ligue 1,Besiktas,Turkish Super Lig,1,2.0,4.0,1
145,Craig Hignett,Right Winger,30,Barnsley FC,Premier League,Blackburn,Premier League,1,2.0,4.0,1
146,Zoran Mirkovic,Right-Back,28,Juventus,Italy Serie A,Fenerbahce,Turkish Super Lig,1,2.0,4.0,3
147,Charles Amoah,Centre-Forward,25,FC St. Gallen,Super League Greece,Sturm Graz,German Bundesliga,1,1.965,3.93,1
148,Niclas Alexandersson,Right Midfield,28,Sheff Wed,Premier League,Everton,Premier League,1,1.9,3.8,2
149,Darren Huckerby,Right Winger,24,Leeds,Premier League,Man City,Premier League,1,1.9,3.8,1
150,David Hopkin,Right Midfield,29,Leeds,Premier League,Bradford City,Premier League,1,1.875,3.75,2
151,Alf-Inge Haland,Defensive Midfield,27,Leeds,Premier League,Man City,Premier League,1,1.875,3.75,2
152,Lomana LuaLua,Second Striker,19,Colchester Utd.,Premier League,Newcastle,Premier League,1,1.875,3.75,1
153,Steve Watson,Right Midfield,26,Aston Villa,Premier League,Everton,Premier League,1,1.875,3.75,2
154,Lee Carsley,Defensive Midfield,26,Blackburn,Premier League,Coventry City,Premier League,1,1.875,3.75,2
155,Don Hutchison,Attacking Midfield,29,Everton,Premier League,Sunderland,Premier League,1,1.875,3.75,2
156,Didier Deschamps,Defensive Midfield,31,Chelsea,Premier League,Valencia CF,LaLiga,1,1.75,3.5,2
157,Santiago Solari,Left Midfield,23,Atlético Madrid,LaLiga2,Real Madrid,LaLiga,1,1.75,3.5,2
158,Thomas Gravesen,Defensive Midfield,24,Hamburger SV,German Bundesliga,Everton,Premier League,1,1.75,3.5,2
159,Jeong-hwan Ahn,Centre-Forward,23,Busan IPark,Korean League,Perugia,Italy Serie A,1,1.75,3.5,1
160,Vasilios Tsiartas,Attacking Midfield,27,Sevilla FC,LaLiga2,AEK Athens,Super League Greece,1,1.75,3.5,2
161,Stephen Hughes,Defensive Midfield,23,Arsenal,Premier League,Everton,Premier League,1,1.75,3.5,2
162,Marc Wilmots,Attacking Midfield,31,FC Schalke 04,German Bundesliga,G. Bordeaux,French Ligue 1,1,1.75,3.5,2
163,Alen Boksic,Centre-Forward,30,Lazio,Italy Serie A,Middlesbrough,Premier League,1,1.725,3.45,1
164,Geoff Horsfield,Centre-Forward,26,Fulham,Premier League,Birmingham,Premier League,1,1.69,3.38,1
165,Louis Saha,Centre-Forward,21,FC Metz,French Ligue 1,Fulham,Premier League,1,1.575,3.15,1
166,Marcus Bent,Centre-Forward,22,Sheffield Utd.,Premier League,Blackburn,Premier League,1,1.575,3.15,1
167,Vratislav Lokvenc,Centre-Forward,26,Sparta Praha,Czech First League,1.FC K'lautern,German Bundesliga,1,1.575,3.15,1
168,Aleksey Smertin,Defensive Midfield,25,Loko Moscow,Premier League,G. Bordeaux,French Ligue 1,1,1.5,3.0,2
169,Stjepan Tomas,Centre-Back,24,Dinamo Zagreb,Croatian First Football League,Vicenza,Italy Serie A,1,1.5,3.0,3
170,Jason Roberts,Centre-Forward,22,Bristol Rovers,Premier League,West Brom,Premier League,1,1.5,3.0,1
171,Emmanuel Olisadebe,Centre-Forward,22,Pol. Warsaw,Ekstraklasa(Polish),Panathinaikos,Super League Greece,1,1.5,3.0,1
172,Danny Higginbotham,Centre-Back,21,Man Utd,Premier League,Derby,Premier League,1,1.5,3.0,3
173,Andrew O'Brien,Centre-Back,21,Bradford City,Premier League,Newcastle,Premier League,1,1.5,3.0,3
174,Antonio Pacheco,Second Striker,24,Peñarol,Uruguayan Primera Division,Inter,Italy Serie A,1,1.5,3.0,1
175,Noel Whelan,Centre-Forward,25,Coventry City,Premier League,Middlesbrough,Premier League,1,1.5,3.0,1
176,Changui,Centre-Forward,23,SD Compostela,LaLiga2,Dep. La Coruña,LaLiga,1,1.5,3.0,1
177,Shaun Bartlett,Centre-Forward,28,FC Zürich,Super League Greece,Charlton,Premier League,1,1.5,3.0,1
178,Dmitri Alenichev,Central Midfield,27,AS Roma,Italy Serie A,FC Porto,LaLiga,1,1.5,3.0,2
179,Andrejs Stolcers,Attacking Midfield,26,Shakhtar D.,Premier League,Fulham,Premier League,1,1.5,3.0,2
180,Oktay Derelioglu,Centre-Forward,24,Siirtspor,Turkish Super Lig,UD Las Palmas,LaLiga,1,1.5,3.0,1
181,Bjørn Otto Bragstad,Centre-Back,29,Rosenborg BK,Eliteserien(Norway),Derby,Premier League,1,1.5,3.0,3
182,Kenny Miller,Centre-Forward,20,Hibernian FC,Scottish Premiership,Rangers,Scottish Premiership,1,1.5,3.0,1
183,Johan Elmander,Centre-Forward,19,Örgryte,Sweden League,Feyenoord,Eredivisie League(Nederland),1,1.45,2.9,1
184,Milan Fukal,Centre-Back,25,Sparta Praha,Czech First League,Hamburger SV,German Bundesliga,1,1.45,2.9,3
186,Marcel Ketelaer,Left Midfield,22,Bor. M'gladbach,German Bundesliga 2,Hamburger SV,German Bundesliga,1,1.4,2.8,2
187,John Collins,Left Midfield,32,Everton,Premier League,Fulham,Premier League,1,1.375,2.75,2
188,Didier Martel,Forward,28,FC Utrecht,Eredivisie League(Nederland),Vitesse,Eredivisie League(Nederland),1,1.375,2.75,1
189,Bernard Mendy,Right-Back,18,SM Caen,Ligue 2,Paris SG,French Ligue 1,1,1.35,2.7,3
190,Danijel Ljuboja,Centre-Forward,21,FC Sochaux,Ligue 2,R. Strasbourg,French Ligue 1,1,1.35,2.7,1
191,Tomás Galásek,Defensive Midfield,27,Willem II,Eredivisie League(Nederland),AFC Ajax,Eredivisie League(Nederland),1,1.35,2.7,2
192,Yoshikatsu Kawaguchi,Goalkeeper,26,Yokohama F. M.,Japanese League,Portsmouth,English League Championship,1,1.35,2.7,4
193,Gabriel Schürrer,Centre-Back,28,Dep. La Coruña,LaLiga,UD Las Palmas,LaLiga,1,1.35,2.7,3
194,Henning Berg,Right-Back,30,Man Utd,Premier League,Blackburn,Premier League,1,1.315,2.63,3
195,Gary Naysmith,Left-Back,21,Heart of Midl.,Scottish Premiership,Everton,Premier League,1,1.315,2.63,3
197,Christian Dailly,Centre-Back,27,Blackburn,Premier League,West Ham,Premier League,1,1.3,2.6,3
198,Jesper Christiansen,Goalkeeper,22,Odense BK,Denmark Superliga,Rangers,Scottish Premiership,1,1.275,2.55,4
199,Nikola Lazetic,Right Winger,22,FK Obilic,Serbian SuperLiga,Fenerbahce,Turkish Super Lig,1,1.25,2.5,1
200,Tim Cornelisse,Right-Back,22,RKC Waalwijk,Eredivisie League(Nederland),Vitesse,Eredivisie League(Nederland),1,1.25,2.5,3
201,Abdelilah Saber,Right-Back,26,Sporting CP,LaLiga,SSC Napoli,Italy Serie A,1,1.25,2.5,3
202,Callum Davidson,Left-Back,24,Blackburn,Premier League,Leicester,Premier League,1,1.25,2.5,3
203,Fazli Ulusal,Centre-Forward,26,Antalyaspor,Turkish Super Lig,Besiktas,Turkish Super Lig,1,1.25,2.5,1
204,Ole Martin Arst,Centre-Forward,25,KAA Gent,Jupiler Pro League(Belgium),Standard Liège,Jupiler Pro League(Belgium),1,1.25,2.5,1
205,Feliciano Magro,Attacking Midfield,21,Grasshoppers,Super League Greece,Udinese Calcio,Italy Serie A,1,1.25,2.5,2
206,Jean-François Gillet,Goalkeeper,21,Monza,Italy Serie B,Bari,Italy Serie A,1,1.25,2.5,4
207,Dimitar Berbatov,Centre-Forward,19,CSKA Sofia,Bulgaria League,Bay. Leverkusen,German Bundesliga,1,1.25,2.5,1
208,Cédric Roussel,Centre-Forward,23,Coventry City,Premier League,Wolves,Premier League,1,1.2,2.4,1
209,Per Frandsen,Right Midfield,30,Blackburn,Premier League,Bolton,Premier League,1,1.2,2.4,2
210,Luciano,Right Midfield,24,Bologna,Italy Serie A,Chievo Verona,Italy Serie B,1,1.165,2.33,2
211,Edgaras Jankauskas,Centre-Forward,25,Club Brugge,Jupiler Pro League(Belgium),Real Sociedad,LaLiga,1,1.15,2.3,1
212,Alan Mahon,Left Midfield,22,Sporting CP,LaLiga,Blackburn,Premier League,1,1.15,2.3,2
213,Gustavo Nery,Left-Back,22,Guarani,Brazil,São Paulo,Brazil,1,1.15,2.3,3
214,Ciriaco Sforza,Central Midfield,30,1.FC K'lautern,German Bundesliga,Bayern Munich ,German Bundesliga,1,1.15,2.3,2
215,David Hopkin,Right Midfield,30,Bradford City,Premier League,Crystal Palace,Premier League,1,1.125,2.25,2
216,Paul Robinson,Centre-Forward,21,Newcastle,Premier League,MK Dons,Premier League,1,1.125,2.25,1
217,Karel Poborsky,Right Midfield,28,Benfica,LaLiga,Lazio,Italy Serie A,1,1.125,2.25,2
218,Rab Douglas,Goalkeeper,28,Dundee FC,Scottish Premiership,Celtic,Scottish Premiership,1,1.125,2.25,4
219,Erman Güracar,Centre-Back,25,Samsunspor,Turkish Super Lig,Besiktas,Turkish Super Lig,1,1.125,2.25,3
220,Trevor Benjamin,Centre-Forward,21,Cambridge Utd.,Premier League,Leicester,Premier League,1,1.125,2.25,1
221,John Curtis,Right-Back,21,Man Utd,Premier League,Blackburn,Premier League,1,1.125,2.25,3
222,Peter Lövenkrands,Centre-Forward,20,Akademisk BK,Denmark Superliga,Rangers,Scottish Premiership,1,1.1,2.2,1
223,Ivica Dragutinovic,Centre-Back,24,KAA Gent,Jupiler Pro League(Belgium),Standard Liège,Jupiler Pro League(Belgium),1,1.1,2.2,3
224,Francesc Arnau,Goalkeeper,25,FC Barcelona,LaLiga,Málaga CF,LaLiga,1,1.05,2.1,4
225,Bernt Haas,Right-Back,22,Grasshoppers,Super League Greece,Sunderland,Premier League,1,1.05,2.1,3
226,Pascal Ojigwe,Defensive Midfield,23,1. FC Köln,German Bundesliga,Bay. Leverkusen,German Bundesliga,1,1.05,2.1,2
227,Chris Makin,Left-Back,27,Sunderland,Premier League,Ipswich,Premier League,1,1.05,2.1,3
228,Frank Verlaat,Centre-Back,32,AFC Ajax,Eredivisie League(Nederland),Werder Bremen,German Bundesliga,1,1.05,2.1,3
229,Ashley Ward,Centre-Forward,29,Blackburn,Premier League,Bradford City,Premier League,1,1.05,2.1,1
230,David Healy,Centre-Forward,21,Man Utd,Premier League,Preston NE,Premier League,1,1.0,2.0,1
231,Georgi Peev,Right Midfield,21,Lok. Sofia,Bulgaria League,Dynamo Kyiv,Premier League,1,1.0,2.0,2
232,Hervé Tum,Centre-Forward,21,FC Sion,Super League Greece,FC Basel,Super League Greece,1,1.0,2.0,1
233,Goran Gavrancic,Centre-Back,22,Cukaricki,Serbian SuperLiga,Dynamo Kyiv,Premier League,1,1.0,2.0,3
